mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.65,"259 km W of Adak, Alaska",1651186085940,1651200292200,,https://earthquake.usgs.gov/earthquakes/eventpage/av91056703,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91056703&format=geojson,,,,,reviewed,0,6,av,91056703,",av91056703,",",av,",",origin,phase-data,",6.0,,0.23,85.0,ml,earthquake,"M 0.7 - 259 km W of Adak, Alaska"
0.57,"260 km W of Adak, Alaska",1651186064640,1651199829760,,https://earthquake.usgs.gov/earthquakes/eventpage/av91547766,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91547766&format=geojson,,,,,reviewed,0,5,av,91547766,",av91547766,",",av,",",origin,phase-data,",5.0,,0.15,92.0,ml,earthquake,"M 0.6 - 260 km W of Adak, Alaska"
2.1,"29 km WNW of Anchor Point, Alaska",1651185737338,1651186809791,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225firiz1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225firiz1&format=geojson,,,,,automatic,0,68,ak,0225firiz1,",ak0225firiz1,",",ak,",",origin,phase-data,",,,0.51,,ml,earthquake,"M 2.1 - 29 km WNW of Anchor Point, Alaska"
1.12,"15km WSW of Toms Place, CA",1651185544790,1651207211151,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725951,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725951&format=geojson,,,,,reviewed,0,19,nc,73725951,",nc73725951,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.07082,0.05,118.0,md,earthquake,"M 1.1 - 15km WSW of Toms Place, CA"
1.5,"7 km ENE of Floriston, California",1651185350551,1651191858846,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838031,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838031&format=geojson,,,,,reviewed,0,35,nn,00838031,",nn00838031,",",nn,",",origin,phase-data,",28.0,0.096,0.1406,31.54,ml,earthquake,"M 1.5 - 7 km ENE of Floriston, California"
1.96,"131 km WSW of Adak, Alaska",1651185334320,1651198865650,,https://earthquake.usgs.gov/earthquakes/eventpage/av91056698,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91056698&format=geojson,,,,,reviewed,0,59,av,91056698,",av91056698,",",av,",",origin,phase-data,",10.0,,0.2,183.0,ml,earthquake,"M 2.0 - 131 km WSW of Adak, Alaska"
1.48,"21km N of Searles Valley, CA",1651185226400,1651186862046,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40247920,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40247920&format=geojson,,,,,reviewed,0,34,ci,40247920,",ci40247920,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.09315,0.09,159.0,ml,earthquake,"M 1.5 - 21km N of Searles Valley, CA"
0.36,"4km W of Cobb, CA",1651185213640,1651186696677,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725941,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725941&format=geojson,,,,,automatic,0,2,nc,73725941,",nc73725941,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.00865,0.01,200.0,md,earthquake,"M 0.4 - 4km W of Cobb, CA"
0.37,"10km NW of The Geysers, CA",1651185020430,1651186044585,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725931,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725931&format=geojson,,,,,automatic,0,2,nc,73725931,",nc73725931,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.002515,0.01,91.0,md,earthquake,"M 0.4 - 10km NW of The Geysers, CA"
4.6,"38 km SSE of Cayarani, Peru",1651184965807,1651188110040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h5r1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h5r1&format=geojson,,,,,reviewed,0,326,us,7000h5r1,",us7000h5r1,",",us,",",origin,phase-data,",,3.463,1.02,122.0,mb,earthquake,"M 4.6 - 38 km SSE of Cayarani, Peru"
1.2,"30 km SSW of Dry Creek, Alaska",1651184602244,1651185732007,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225fingr0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225fingr0&format=geojson,,,,,automatic,0,22,ak,0225fingr0,",ak0225fingr0,",",ak,",",origin,phase-data,",,,1.23,,ml,earthquake,"M 1.2 - 30 km SSW of Dry Creek, Alaska"
0.99,"3 km NNE of Granite Falls, Washington",1651184267160,1651203053530,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61835011,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61835011&format=geojson,,,,,reviewed,0,15,uw,61835011,",uw61835011,",",uw,",",origin,phase-data,",7.0,0.0274,0.11,152.0,md,explosion,"M 1.0 Explosion - 3 km NNE of Granite Falls, Washington"
1.99,"8 km ENE of P?hala, Hawaii",1651183456200,1651183786610,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72997942,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72997942&format=geojson,,,,,automatic,0,61,hv,72997942,",hv72997942,",",hv,",",origin,phase-data,",33.0,,0.150000006,141.0,ml,earthquake,"M 2.0 - 8 km ENE of P?hala, Hawaii"
1.47,"14km SW of Searles Valley, CA",1651183277430,1651186630023,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40247904,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40247904&format=geojson,,,,,reviewed,0,33,ci,40247904,",ci40247904,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.115,0.16,98.0,ml,earthquake,"M 1.5 - 14km SW of Searles Valley, CA"
1.16,"20 km W of Augusta, Montana",1651183029820,1651242168400,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544399,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544399&format=geojson,,,,,reviewed,0,21,mb,80544399,",mb80544399,",",mb,",",origin,phase-data,",16.0,0.289,0.12,146.0,ml,earthquake,"M 1.2 - 20 km W of Augusta, Montana"
1.1,"56 km NW of Petersville, Alaska",1651182364399,1651182527447,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225fi6x93,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225fi6x93&format=geojson,,,,,automatic,0,19,ak,0225fi6x93,",ak0225fi6x93,",",ak,",",origin,phase-data,",,,0.81,,ml,earthquake,"M 1.1 - 56 km NW of Petersville, Alaska"
2.53,"2 km ENE of Magas Arriba, Puerto Rico",1651182269000,1651184101170,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71346658,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71346658&format=geojson,,,,,reviewed,0,98,pr,71346658,",pr71346658,",",pr,",",origin,phase-data,",21.0,,0.2,124.0,md,earthquake,"M 2.5 - 2 km ENE of Magas Arriba, Puerto Rico"
0.86,"10km NW of The Geysers, CA",1651181995760,1651182975252,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725916,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725916&format=geojson,,,,,automatic,0,11,nc,73725916,",nc73725916,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.001053,0.01,112.0,md,earthquake,"M 0.9 - 10km NW of The Geysers, CA"
2.17,"20 km WNW of Stanley, Idaho",1651181086590,1651248502790,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544389,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544389&format=geojson,,,,,reviewed,0,72,mb,80544389,",mb80544389,",",mb,",",origin,phase-data,",11.0,0.825,0.22,83.0,ml,earthquake,"M 2.2 - 20 km WNW of Stanley, Idaho"
0.54,"12 km W of Lincoln, Montana",1651180858630,1651266178930,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544464,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544464&format=geojson,,,,,reviewed,0,4,mb,80544464,",mb80544464,",",mb,",",origin,phase-data,",10.0,0.134,0.12,102.0,ml,earthquake,"M 0.5 - 12 km W of Lincoln, Montana"
1.83,"44km NE of Holtville, CA",1651180833060,1651182335570,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40247888,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40247888&format=geojson,,,,,reviewed,0,52,ci,40247888,",ci40247888,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.0807,0.31,60.0,ml,quarry blast,"M 1.8 Quarry Blast - 44km NE of Holtville, CA"
0.54,"4km W of Cobb, CA",1651180776650,1651181775131,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725906&format=geojson,,,,,automatic,0,4,nc,73725906,",nc73725906,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.01184,0.02,117.0,md,earthquake,"M 0.5 - 4km W of Cobb, CA"
2.1,"20 km ESE of Denali National Park, Alaska",1651180096225,1651181436077,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225fhysw9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225fhysw9&format=geojson,,,,,automatic,0,68,ak,0225fhysw9,",ak0225fhysw9,",",ak,",",origin,phase-data,",,,1.05,,ml,earthquake,"M 2.1 - 20 km ESE of Denali National Park, Alaska"
1.33,"20km N of Trona, CA",1651179113990,1651179485297,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40247872,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40247872&format=geojson,,,,,reviewed,0,27,ci,40247872,",ci40247872,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.07573,0.14,97.0,ml,earthquake,"M 1.3 - 20km N of Trona, CA"
-0.77,"13 km W of Akutan, Alaska",1651178591030,1651195919380,,https://earthquake.usgs.gov/earthquakes/eventpage/av91547716,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91547716&format=geojson,,,,,reviewed,0,0,av,91547716,",av91547716,",",av,",",origin,phase-data,",7.0,,0.3,63.0,ml,earthquake,"M -0.8 - 13 km W of Akutan, Alaska"
1.1,"35 km SE of Mina, Nevada",1651178390750,1651182578606,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838023,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838023&format=geojson,,,,,reviewed,0,19,nn,00838023,",nn00838023,",",nn,",",origin,phase-data,",13.0,0.127,0.081,147.94,ml,earthquake,"M 1.1 - 35 km SE of Mina, Nevada"
0.28,"3km SW of Anderson Springs, CA",1651177046670,1651209730945,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725861,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725861&format=geojson,,,,,reviewed,0,1,nc,73725861,",nc73725861,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.006893,0.02,97.0,md,earthquake,"M 0.3 - 3km SW of Anderson Springs, CA"
1.2,"77 km NNW of Yakutat, Alaska",1651175906927,1651176453729,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225fh2odg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225fh2odg&format=geojson,,,,,automatic,0,22,ak,0225fh2odg,",ak0225fh2odg,",",ak,",",origin,phase-data,",,,0.82,,ml,earthquake,"M 1.2 - 77 km NNW of Yakutat, Alaska"
1.6500000000000001,"13 km W of Greenwater, Washington",1651175616850,1651204096040,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61834961,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61834961&format=geojson,,,,,reviewed,0,42,uw,61834961,",uw61834961,",",uw,",",origin,phase-data,",15.0,0.04657,0.09,129.0,ml,explosion,"M 1.7 Explosion - 13 km W of Greenwater, Washington"
2.0,"93 km NNW of Rachel, Nevada",1651175333298,1651181464809,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838021,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838021&format=geojson,,,,,reviewed,0,62,nn,00838021,",nn00838021,",",nn,",",origin,phase-data,",5.0,0.837,0.158,132.96,ml,earthquake,"M 2.0 - 93 km NNW of Rachel, Nevada"
2.08,"5 km NNW of Sabana Grande, Puerto Rico",1651174953240,1651177186180,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71346648,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71346648&format=geojson,,,,,reviewed,0,67,pr,71346648,",pr71346648,",",pr,",",origin,phase-data,",4.0,,0.08,176.0,md,earthquake,"M 2.1 - 5 km NNW of Sabana Grande, Puerto Rico"
4.4,"91 km ENE of Shikotan, Russia",1651174930870,1651179994040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h5q0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h5q0&format=geojson,,,,,reviewed,0,298,us,7000h5q0,",us7000h5q0,",",us,",",origin,phase-data,",,3.748,0.53,182.0,mb,earthquake,"M 4.4 - 91 km ENE of Shikotan, Russia"
2.54,"5 km SSE of Maria Antonia, Puerto Rico",1651173847390,1651175334700,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71346633,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71346633&format=geojson,,,,,reviewed,0,99,pr,71346633,",pr71346633,",",pr,",",origin,phase-data,",7.0,,0.14,219.0,md,earthquake,"M 2.5 - 5 km SSE of Maria Antonia, Puerto Rico"
1.07,"4km W of Cobb, CA",1651173826940,1651179974922,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725826,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725826&format=geojson,,,,,automatic,0,18,nc,73725826,",nc73725826,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.006355,0.03,126.0,md,earthquake,"M 1.1 - 4km W of Cobb, CA"
1.2,"11 km NE of Susitna, Alaska",1651173738849,1651179573612,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225fguxx8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225fguxx8&format=geojson,,,,,reviewed,0,22,ak,0225fguxx8,",ak0225fguxx8,",",ak,",",origin,phase-data,",,,0.61,,ml,earthquake,"M 1.2 - 11 km NE of Susitna, Alaska"
1.9,"53 km N of Petersville, Alaska",1651173287496,1651174460225,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225fgtagg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225fgtagg&format=geojson,,,,,automatic,0,56,ak,0225fgtagg,",ak0225fgtagg,",",ak,",",origin,phase-data,",,,0.56,,ml,earthquake,"M 1.9 - 53 km N of Petersville, Alaska"
2.21,"7km ENE of Bonadelle Ranchos-Madera Ranchos, CA",1651172832790,1651180931027,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725821,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725821&format=geojson,,,,,reviewed,0,75,nc,73725821,",nc73725821,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.08599,0.06,143.0,md,earthquake,"M 2.2 - 7km ENE of Bonadelle Ranchos-Madera Ranchos, CA"
1.88,"30 km WNW of Hebgen Lake Estates, Montana",1651172819240,1651241570000,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544374,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544374&format=geojson,,,,,reviewed,0,54,mb,80544374,",mb80544374,",",mb,",",origin,phase-data,",33.0,0.101,0.21,54.0,ml,earthquake,"M 1.9 - 30 km WNW of Hebgen Lake Estates, Montana"
1.44,"7km S of Mojave, CA",1651172524970,1651178487103,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40247832,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40247832&format=geojson,,,,,reviewed,0,32,ci,40247832,",ci40247832,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",27.0,0.1133,0.25,53.0,ml,quarry blast,"M 1.4 Quarry Blast - 7km S of Mojave, CA"
0.84,"7km NW of The Geysers, CA",1651172498960,1651177516644,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725816,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725816&format=geojson,,,,,automatic,0,11,nc,73725816,",nc73725816,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.00469,0.02,90.0,md,earthquake,"M 0.8 - 7km NW of The Geysers, CA"
0.7,"23 km ESE of Denali National Park, Alaska",1651171609416,1651171757956,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225fgepwx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225fgepwx&format=geojson,,,,,automatic,0,8,ak,0225fgepwx,",ak0225fgepwx,",",ak,",",origin,phase-data,",,,0.34,,ml,earthquake,"M 0.7 - 23 km ESE of Denali National Park, Alaska"
1.71,"26 km WNW of Stanley, Idaho",1651171588550,1651249656810,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544364,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544364&format=geojson,,,,,reviewed,0,45,mb,80544364,",mb80544364,",",mb,",",origin,phase-data,",7.0,0.845,0.3,118.0,ml,earthquake,"M 1.7 - 26 km WNW of Stanley, Idaho"
1.51,"11 km SE of Katie, Oklahoma",1651170432320,1651235896526,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022ihej,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022ihej&format=geojson,,,,,reviewed,0,35,ok,2022ihej,",ok2022ihej,",",ok,",",origin,phase-data,",42.0,0.09358163609,0.74,96.0,ml,quarry blast,"M 1.5 Quarry Blast - 11 km SE of Katie, Oklahoma"
0.83,"1km NNE of The Geysers, CA",1651170417070,1651175894459,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725796,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725796&format=geojson,,,,,automatic,0,11,nc,73725796,",nc73725796,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.01304,0.02,98.0,md,earthquake,"M 0.8 - 1km NNE of The Geysers, CA"
0.9,"63 km NNW of Glacier View, Alaska",1651169749425,1651170326398,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225fg82qi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225fg82qi&format=geojson,,,,,automatic,0,12,ak,0225fg82qi,",ak0225fg82qi,",",ak,",",origin,phase-data,",,,0.26,,ml,earthquake,"M 0.9 - 63 km NNW of Glacier View, Alaska"
0.79,"42 km W of False Pass, Alaska",1651169302070,1651195692330,,https://earthquake.usgs.gov/earthquakes/eventpage/av91056688,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91056688&format=geojson,,,,,reviewed,0,10,av,91056688,",av91056688,",",av,",",origin,phase-data,",4.0,,0.33,186.0,ml,earthquake,"M 0.8 - 42 km W of False Pass, Alaska"
0.66,Western Montana,1651168642540,1651250790570,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544429,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544429&format=geojson,,,,,reviewed,0,7,mb,80544429,",mb80544429,",",mb,",",origin,phase-data,",12.0,0.05,0.14,64.0,ml,earthquake,M 0.7 - Western Montana
1.5,"44 km NNE of Yakutat, Alaska",1651167850861,1651168431080,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225ffsrum,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225ffsrum&format=geojson,,,,,automatic,0,35,ak,0225ffsrum,",ak0225ffsrum,",",ak,",",origin,phase-data,",,,1.28,,ml,earthquake,"M 1.5 - 44 km NNE of Yakutat, Alaska"
1.21,"7km NNE of Pinnacles, CA",1651167683390,1651215430471,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725771,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725771&format=geojson,,,,,reviewed,0,23,nc,73725771,",nc73725771,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.05779,0.07,134.0,md,earthquake,"M 1.2 - 7km NNE of Pinnacles, CA"
2.1400001,"2 km SSW of P?hala, Hawaii",1651167013980,1651167204400,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72997777,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72997777&format=geojson,,,,,automatic,0,70,hv,72997777,",hv72997777,",",hv,",",origin,phase-data,",44.0,,0.140000001,76.0,md,earthquake,"M 2.1 - 2 km SSW of P?hala, Hawaii"
-0.17,"9 km SSW of Bear Dance, Montana",1651165951030,1651265639380,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80544459,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80544459&format=geojson,,,,,reviewed,0,0,mb,80544459,",mb80544459,",",mb,",",origin,phase-data,",8.0,0.047,0.07,138.0,md,earthquake,"M -0.2 - 9 km SSW of Bear Dance, Montana"
3.9,"35 km NNW of Toyah, Texas",1651165737648,1651252333514,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h5nk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000h5nk&format=geojson,,,4.706,green,reviewed,0,234,us,7000h5nk,",us7000h5nk,tx2022ihbu,",",us,tx,",",losspager,moment-tensor,origin,phase-data,shakemap,",,0.241,0.54,54.0,mwr,earthquake,"M 3.9 - 35 km NNW of Toyah, Texas"
1.6,"3km WNW of Beaumont, CA",1651165599390,1651170398410,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40247800,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40247800&format=geojson,,,,,reviewed,0,39,ci,40247800,",ci40247800,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",61.0,0.1173,0.15,37.0,ml,earthquake,"M 1.6 - 3km WNW of Beaumont, CA"
1.5,"4km SW of Anderson Springs, CA",1651164521530,1651172835137,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73725751,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73725751&format=geojson,,,,,automatic,0,35,nc,73725751,",nc73725751,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.005586,0.04,115.0,md,earthquake,"M 1.5 - 4km SW of Anderson Springs, CA"
0.8,"22 km NNE of Hawthorne, Nevada",1651163975892,1651184443565,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00838030,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00838030&format=geojson,,,,,reviewed,0,10,nn,00838030,",nn00838030,",",nn,",",origin,phase-data,",11.0,0.284,0.0701,112.16,ml,earthquake,"M 0.8 - 22 km NNE of Hawthorne, Nevada"
1.9,"59 km WNW of Ninilchik, Alaska",1651163816603,1651164803255,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0225ff5q3v,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0225ff5q3v&format=geojson,,,,,automatic,0,56,ak,0225ff5q3v,",ak0225ff5q3v,",",ak,",",origin,phase-data,",,,0.33,,ml,earthquake,"M 1.9 - 59 km WNW of Ninilchik, Alaska"
0.82,"5km S of Banning, CA",1651163659400,1651169541583,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37496685,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37496685&format=geojson,,,,,reviewed,0,10,ci,37496685,",ci37496685,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",17.0,0.07799,0.11,136.0,ml,earthquake,"M 0.8 - 5km S of Banning, CA"
